text,date
Vaccines are working! Cases down.,2021-04-01
Finally seeing coworkers again!,2021-04-02
Numbers are improving in my area.,2021-04-03
Remote work should be permanent!,2021-04-04
COVID took so much from us.,2021-04-05
COVID numbers are scary again.,2021-04-06
Quarantine boredom is intense.,2021-04-07
Thankful it was a mild case.,2021-04-08
Watching movies at home now. Safe choice.,2021-04-09
Lost a job due to the pandemic.,2021-04-10
Everything is closed again. Sigh.,2021-04-11
"Back to school next week, nervous.",2021-04-12
Restaurants are open again. Finally!,2021-04-13
Still no vaccine appointment available.,2021-04-14
Community outreach for vaccination is great.,2021-04-15
Working out at home isn't the same.,2021-04-16
"Mask on, always!",2021-04-17
Read a great article about mRNA vaccines.,2021-04-18
Remote work should be permanent!,2021-04-19
Still can't taste or smell.,2021-04-20
Post-COVID fatigue is real.,2021-04-21
"Another day, another Zoom meeting.",2021-04-22
I miss concerts and public gatherings.,2021-04-23
Staying inside due to rising cases.,2021-04-24
Hope we're learning from this crisis.,2021-04-25
Watching movies at home now. Safe choice.,2021-04-26
My mom finally got vaccinated!,2021-04-27
Kids are struggling with online school.,2021-04-28
Can't believe it's been a year already.,2021-04-29
Got my booster shot today!,2021-04-30
Numbers are improving in my area.,2021-05-01
Can’t wait to eat out again.,2021-05-02
Sunshine and vaccines—feels good!,2021-05-03
Trying to stay positive during these times.,2021-05-04
No side effects from the booster!,2021-05-05
Got my booster shot today!,2021-05-06
Online learning isn't effective for young kids.,2021-05-07
Vaccines are working! Cases down.,2021-05-08
New mask mandate in my city.,2021-05-09
Another friend tested positive. Sigh.,2021-05-10
Had a rough week. COVID stress.,2021-05-11
Read a great article about mRNA vaccines.,2021-05-12
Got hired remotely. Grateful!,2021-05-13
Vaccines should be mandatory.,2021-05-14
My COVID test was negative. Phew!,2021-05-15
Life is slowly getting better.,2021-05-16
Thankful for science and vaccines!,2021-05-17
Mask mandates are back.,2021-05-18
COVID numbers are scary again.,2021-05-19
Hope we don’t go into another lockdown.,2021-05-20
Got infected on vacation. Regret it.,2021-05-21
Got COVID despite being vaccinated.,2021-05-22
Waiting for vaccine appointment.,2021-05-23
Lost a job due to the pandemic.,2021-05-24
Getting back into a routine.,2021-05-25
Numbers are improving in my area.,2021-05-26
Getting back into a routine.,2021-05-27
Online learning isn't effective for young kids.,2021-05-28
Tired of this endless pandemic.,2021-05-29
COVID numbers are scary again.,2021-05-30
Sunshine and vaccines—feels good!,2021-05-31
Kids are struggling with online school.,2021-06-01
Got infected on vacation. Regret it.,2021-06-02
Working on mental health during lockdown.,2021-06-03
People still not wearing masks. Why?,2021-06-04
Restaurants are open again. Finally!,2021-06-05
Appreciating the small things now.,2021-06-06
Grateful for the healthcare workers!,2021-06-07
Kids are struggling with online school.,2021-06-08
Got my booster shot today!,2021-06-09
Thankful it was a mild case.,2021-06-10
Vaccines are working! Cases down.,2021-06-11
Wish we had better leadership during this crisis.,2021-06-12
Still can't taste or smell.,2021-06-13
Working on mental health during lockdown.,2021-06-14
Numbers are improving in my area.,2021-06-15
Watching movies at home now. Safe choice.,2021-06-16
New cases at work. Stressful.,2021-06-17
COVID fatigue is real.,2021-06-18
"Got a cough, getting tested just in case.",2021-06-19
People still not wearing masks. Why?,2021-06-20
Finally seeing coworkers again!,2021-06-21
Still can't taste or smell.,2021-06-22
Just want life to be normal again.,2021-06-23
Cases are rising again. Stay careful.,2021-06-24
Numbers are improving in my area.,2021-06-25
Quarantine boredom is intense.,2021-06-26
Thankful for science and vaccines!,2021-06-27
Met friends after a year. Emotional.,2021-06-28
Kids are struggling with online school.,2021-06-29
Online learning isn't effective for young kids.,2021-06-30
My COVID test was negative. Phew!,2021-07-01
Working out at home isn't the same.,2021-07-02
Hope we're learning from this crisis.,2021-07-03
Life is slowly getting better.,2021-07-04
Virtual meetings all day. Draining.,2021-07-05
Staying inside due to rising cases.,2021-07-06
Back to daily walks in the neighborhood.,2021-07-07
Got my booster shot today!,2021-07-08
Planning a safe road trip soon.,2021-07-09
